"pl_category","sk_category"
"Nadwozie > Dźwignie sprzęgła i hamulca > Dźwignie hamulca > Standard","Karoséria a rám > Dźwignie sprzęgła i hamulca > Dźwignie hamulca > Standard"
"Układ napędowy > Łańcuchy napędowe > 520 > Z uszczelnieniem","Pohon > Łańcuchy napędowe > 520 > Z uszczelnieniem"
"Kaski i gogle > Gogle","Prilby a okuliare > Moto okuliare"
"Układ paliwowy > Zestawy naprawcze i części gaźników > Dysze","Palivový systém > Zestawy naprawcze i części gaźników > Dysze"
"Odzież i ochraniacze > Odzież szosowa > Rękawice motocyklowe > Rękawice skórzane","Oblečenie a ochranné vybavenie > Cestné moto oblečenie > Moto rukavice > Kožené rukavice"
"Kaski i gogle > Kaski dual","Prilby a okuliare > Dual-sport prilby"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki pokrywy zaworowej > Athena","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki pokrywy zaworowej > Athena"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelka kolektora wydechowego","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelka kolektora wydechowego"
"Silnik > Uszczelki i uszczelniacze > Komplet uszczelek > Namura","Motor > Uszczelki i uszczelniacze > Komplet uszczelek > Namura"
"Silnik > Sprzęgło > Sprzęgła kompletne","Motor > Sprzęgło > Sprzęgła kompletne"
"Kaski i gogle > Akcesoria do gogli","Prilby a okuliare > Príslušenstvo k okuliarom"
"Silnik > Sprzęgło > Sprężyny sprzęgłowe","Motor > Sprzęgło > Sprężyny sprzęgłowe"
"Zawieszenie i układ kierowniczy > Tył > Zestawy naprawcze przegubu wahacza","Odpruženie a riadenie > Zadné > Zestawy naprawcze przegubu wahacza"
"Nadwozie > Dźwignie zmiany biegów > Aluminiowe","Karoséria a rám > Dźwignie zmiany biegów > Aluminiowe"
"Silnik > Uszczelki i uszczelniacze > Komplet uszczelek > Athena","Motor > Uszczelki i uszczelniacze > Komplet uszczelek > Athena"
"Zawieszenie i układ kierowniczy > Tył > Zestawy naprawcze wahacza","Odpruženie a riadenie > Zadné > Zestawy naprawcze wahacza"
"Układ napędowy > Zapinki, zakuwki i ogniwa łączące > Zapinki","Pohon > Zapinki, zakuwki i ogniwa łączące > Zapinki"
"Zawieszenie i układ kierowniczy > Przód > Tulejki (panewki) zawieszenia > Komplety tulejek","Odpruženie a riadenie > Predné > Tulejki (panewki) zawieszenia > Komplety tulejek"
"Zawieszenie i układ kierowniczy > Przód > Uszczelniacze zawieszenia > Pyłowe","Odpruženie a riadenie > Predné > Uszczelniacze zawieszenia > Pyłowe"
"Odzież i ochraniacze > Odzież szosowa > Kurtki motocyklowe > Kurtki krótkie tekstylne","Oblečenie a ochranné vybavenie > Cestné moto oblečenie > Moto bundy > Krátke textilné bundy"
"Odzież i ochraniacze > Odzież szosowa > Kurtki motocyklowe > Kurtki długie tekstylne","Oblečenie a ochranné vybavenie > Cestné moto oblečenie > Moto bundy > Dlhé textilné bundy"
"Silnik > Tłoki-Pierścienie-Sworznie > Pierścienie do tłoków 4T","Motor > Tłoki-Pierścienie-Sworznie > Pierścienie do tłoków 4T"
"Zawieszenie i układ kierowniczy > Przód > Łożyska główki ramy","Odpruženie a riadenie > Predné > Łożyska główki ramy"
"Zawieszenie i układ kierowniczy > Przód > Uszczelniacze zawieszenia > Komplety","Odpruženie a riadenie > Predné > Uszczelniacze zawieszenia > Komplety"
"Układ napędowy > Łańcuchy napędowe > 525 > Z uszczelnieniem","Pohon > Łańcuchy napędowe > 525 > Z uszczelnieniem"
"Silnik > Uszczelki i uszczelniacze > Komplet uszczelek > OMP","Motor > Uszczelki i uszczelniacze > Komplet uszczelek > OMP"
"Silnik > Płytki zaworowe > Średnica 9,48mm","Motor > Płytki zaworowe > Średnica 9,48mm"
"Układ elektryczny > Akumulatory > 12V > Bezobsługowe","Elektroinštalácia > Akumulatory > 12V > Bezobsługowe"
"Odzież i ochraniacze > Odzież offroad > Kurtki offroad","Oblečenie a ochranné vybavenie > Off-road oblečenie > Off-road bundy"
"Odzież i ochraniacze > Odzież codzienna > Bluzy","Oblečenie a ochranné vybavenie > Voľnočasové oblečenie > Mikiny"
"Nadwozie > Rolgazy i manetki > Manetki > Szosowe","Karoséria a rám > Rolgazy i manetki > Manetki > Szosowe"
"Buty motocyklowe > Buty szosowe krótkie","Moto obuv > Krátke cestné moto topánky"
"Silnik > Uszczelki i uszczelniacze > Uszczelniacze zaworowe > Athena","Motor > Uszczelki i uszczelniacze > Uszczelniacze zaworowe > Athena"
"Układ hamulcowy > Pompa hamulcowa > Zestawy naprawcze pomp hamulcowych > Przód","Brzdový systém > Hlavný brzdový valec > Opravné sady hlavného brzdového valca > Predné"
"Nadwozie > Plastiki > Osłona rąk + mocowanie","Karoséria a rám > Plastiki > Osłona rąk + mocowanie"
"Buty motocyklowe > Buty szosowe długie","Moto obuv > Dlhé cestné moto čižmy"
"Układ napędowy > Łańcuchy napędowe > 530 > Z uszczelnieniem","Pohon > Łańcuchy napędowe > 530 > Z uszczelnieniem"
"Nadwozie > Plastiki > Prowadnica łańcucha","Karoséria a rám > Plastiki > Prowadnica łańcucha"
"Odzież i ochraniacze > Odzież szosowa > Spodnie motocyklowe > Spodnie tekstylne","Oblečenie a ochranné vybavenie > Cestné moto oblečenie > Moto nohavice > Textilné nohavice"
"Zawieszenie i układ kierowniczy > Przód > Końcówki drążka kierowniczego","Odpruženie a riadenie > Predné > Końcówki drążka kierowniczego"
"Układ elektryczny > Rozruszniki > Przekaźnik rozrusznika","Elektroinštalácia > Rozruszniki > Przekaźnik rozrusznika"
"Odzież i ochraniacze > Odzież przeciwdeszczowa","Oblečenie a ochranné vybavenie > Nepremokavé oblečenie"
"Odzież i ochraniacze > Odzież szosowa > Rękawice motocyklowe > Rękawice tekstylne","Oblečenie a ochranné vybavenie > Cestné moto oblečenie > Moto rukavice > Textilné rukavice"
"Układ napędowy > Półosie napędowe","Pohon > Półosie napędowe"
"Silnik > Sprzęgło > Przekładki tarcz sprzęgłowych","Motor > Sprzęgło > Przekładki tarcz sprzęgłowych"
"Silnik > Zawory > Zawory ssące","Motor > Zawory > Zawory ssące"
"Nadwozie > Plastiki > Ślizg łańcucha","Karoséria a rám > Plastiki > Ślizg łańcucha"
"Zawieszenie i układ kierowniczy > Tył > Zestaw naprawczy zawieszenia","Odpruženie a riadenie > Zadné > Zestaw naprawczy zawieszenia"
"Nadwozie > Plastiki > Osłona ramy","Karoséria a rám > Plastiki > Osłona ramy"
"Układ napędowy > Zębatki tył > Aluminiowe","Pohon > Zębatki tył > Aluminiowe"
"Silnik > Układ wydechowy > Akcesoria do wydechów","Motor > Układ wydechowy > Akcesoria do wydechów"
"Silnik > Łożysko główki korbowodu","Motor > Łożysko główki korbowodu"
"Układ paliwowy > Pompa paliwa i zestawy naprawcze","Palivový systém > Pompa paliwa i zestawy naprawcze"
"Filtry > Pokrywy i osłony filtrów","Filtre > Pokrywy i osłony filtrów"
"Opony > Oldtimer","Pneumatiky > Veteránske pneumatiky"
"Układ paliwowy > Zestawy naprawcze kraników","Palivový systém > Zestawy naprawcze kraników"
"Silnik > Tłoki-Pierścienie-Sworznie > Pierścienie do tłoków 2T","Motor > Tłoki-Pierścienie-Sworznie > Pierścienie do tłoków 2T"
"Zawieszenie i układ kierowniczy > Tył > Łożyska amortyzatora centralnego","Odpruženie a riadenie > Zadné > Łożyska amortyzatora centralnego"
"Silnik > Wały korbowe > Łożyska z uszczelniaczami","Motor > Wały korbowe > Łożyska z uszczelniaczami"
"Opony > ATV","Pneumatiky > ATV pneumatiky"
"Zawieszenie i układ kierowniczy > Przód > Rury teleskopów + Golenie amortyzatorów","Odpruženie a riadenie > Predné > Rury teleskopów + Golenie amortyzatorów"
"Układ napędowy > Zestawy naprawcze wałka zdawczego","Pohon > Zestawy naprawcze wałka zdawczego"
"Układ elektryczny > Uzwojenia (statory) i wirniki","Elektroinštalácia > Uzwojenia (statory) i wirniki"
"Układ napędowy > Łańcuchy napędowe > 428 > Bez uszczelnień","Pohon > Łańcuchy napędowe > 428 > Bez uszczelnień"
"Układ napędowy > Zapinki, zakuwki i ogniwa łączące > Zakuwki","Pohon > Zapinki, zakuwki i ogniwa łączące > Zakuwki"
"Układ paliwowy > Zestawy naprawcze i części gaźników > Uszczelki komory pływakowej","Palivový systém > Zestawy naprawcze i części gaźników > Uszczelki komory pływakowej"
"Nadwozie > Plastiki > Błotnik tylny","Karoséria a rám > Plastiki > Błotnik tylny"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelka tłumika","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelka tłumika"
"Odzież i ochraniacze > Ochraniacze > Ochraniacze klatki piersiowej","Oblečenie a ochranné vybavenie > Chrániče > Chrániče hrudníka"
"Nadwozie > Plastiki > Komplety plastików","Karoséria a rám > Plastiki > Komplety plastików"
"Układ napędowy > Łańcuchy napędowe > 420 > Bez uszczelnień","Pohon > Łańcuchy napędowe > 420 > Bez uszczelnień"
"Nadwozie > Śruby i nakrętki","Karoséria a rám > Śruby i nakrętki"
"Silnik > Zawory > Zawory wydechowe","Motor > Zawory > Zawory wydechowe"
"Nadwozie > Kierownice i osprzęt > Kierownice aluminiowe > 22mm","Karoséria a rám > Kierownice i osprzęt > Kierownice aluminiowe > 22mm"
"Nadwozie > Plastiki > Błotnik przedni","Karoséria a rám > Plastiki > Błotnik przedni"
"Zawieszenie i układ kierowniczy > Przód > Sworznie zwrotnicy i wahacza przedniego","Odpruženie a riadenie > Predné > Sworznie zwrotnicy i wahacza przedniego"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki głowicy > Standard > Athena","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki głowicy > Standard > Athena"
"Oleje i chemia > Oleje do zawieszenia","Oleje a chémia > Oleje do zawieszenia"
"Układ elektryczny > Świece i fajki > Fajki","Elektroinštalácia > Świece i fajki > Fajki"
"Układ elektryczny > Układ zapłonowy > Cewki zapłonowe","Elektroinštalácia > Układ zapłonowy > Cewki zapłonowe"
"Układ elektryczny > Układ zapłonowy > Moduły zapłonu","Elektroinštalácia > Układ zapłonowy > Moduły zapłonu"
"Nadwozie > Kierownice i osprzęt > Kierownice aluminiowe > 28mm","Karoséria a rám > Kierownice i osprzęt > Kierownice aluminiowe > 28mm"
"Układ napędowy > Łańcuchy napędowe > 520 > Bez uszczelnień","Pohon > Łańcuchy napędowe > 520 > Bez uszczelnień"
"Zawieszenie i układ kierowniczy > Tył > Uszczelniacze i łożyska dyferencjału","Odpruženie a riadenie > Zadné > Uszczelniacze i łożyska dyferencjału"
"Zawieszenie i układ kierowniczy > Przód > Zestawy naprawcze wahacza","Odpruženie a riadenie > Predné > Zestawy naprawcze wahacza"
"Zawieszenie i układ kierowniczy > Przód > Tulejki (panewki) zawieszenia > Tulejki na sztuki","Odpruženie a riadenie > Predné > Tulejki (panewki) zawieszenia > Tulejki na sztuki"
"Silnik > Płytki zaworowe > Średnica 10,00mm","Motor > Płytki zaworowe > Średnica 10,00mm"
"Nadwozie > Lusterka > Uniwersalne","Karoséria a rám > Lusterka > Uniwersalne"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki misy olejowej","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki misy olejowej"
"Układ napędowy > Zębatki tył > Ergal","Pohon > Zębatki tył > Ergal"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki pod cylinder","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki pod cylinder"
"Układ hamulcowy > Zaciski hamulcowe > Trzpienie mocujące klocki","Brzdový systém > Brzdové strmene > Upevňovacie čapy brzdových doštičiek"
"Silnik > Uszczelki i uszczelniacze > Komplet uszczelek > Winderosa","Motor > Uszczelki i uszczelniacze > Komplet uszczelek > Winderosa"
"Odzież i ochraniacze > Ochraniacze > Ochraniacze kolan","Oblečenie a ochranné vybavenie > Chrániče > Chrániče kolien"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelniacze wału korbowego","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelniacze wału korbowego"
"Oleje i chemia > Smary do łańcucha","Oleje a chémia > Smary do łańcucha"
"Układ hamulcowy > Pompa hamulcowa > Zestawy naprawcze pomp hamulcowych > Tył","Brzdový systém > Hlavný brzdový valec > Opravné sady hlavného brzdového valca > Zadné"
"Zawieszenie i układ kierowniczy > Tył > Uszczelniacze amortyzatora centralnego","Odpruženie a riadenie > Zadné > Uszczelniacze amortyzatora centralnego"
"Odzież i ochraniacze > Odzież szosowa > Rękawice motocyklowe > Rękawice skórzano-tekstylne","Oblečenie a ochranné vybavenie > Cestné moto oblečenie > Moto rukavice > Koženo-textilné rukavice"
"Układ napędowy > Osłona przegubu napędowego","Pohon > Osłona przegubu napędowego"
"Układ napędowy > Ślizgi i rolki łańcucha","Pohon > Ślizgi i rolki łańcucha"
"Nadwozie > Kierownice i osprzęt > Osłony kierownicy","Karoséria a rám > Kierownice i osprzęt > Osłony kierownicy"
"Układ hamulcowy > Zaciski hamulcowe > Zaciski hamulcowe","Brzdový systém > Brzdové strmene > Brzdové strmene"
"Opony > Komplety opon","Pneumatiky > Sady pneumatík"
"Silnik > Wały korbowe > Wały korbowe standard","Motor > Wały korbowe > Wały korbowe standard"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki"
"Silnik > Korbowody > Motocykle 4T","Motor > Korbowody > Motocykle 4T"
"Układ elektryczny > Akumulatory > 12V > Obsługowe","Elektroinštalácia > Akumulatory > 12V > Obsługowe"
"Silnik > Płytki zaworowe > Średnica 8,90mm","Motor > Płytki zaworowe > Średnica 8,90mm"
"Silnik > Uszczelki i uszczelniacze > Komplet uszczelek > Prox","Motor > Uszczelki i uszczelniacze > Komplet uszczelek > Prox"
"Oleje i chemia > Oleje silnikowe 4T","Oleje a chémia > Oleje silnikowe 4T"
"Odzież i ochraniacze > Odzież codzienna > Spodnie","Oblečenie a ochranné vybavenie > Voľnočasové oblečenie > Nohavice"
"Silnik > Korbowody > ATV","Motor > Korbowody > ATV pneumatiky"
"Nadwozie > Kierownice i osprzęt > Końcowki kierownicy","Karoséria a rám > Kierownice i osprzęt > Końcowki kierownicy"
"Układ elektryczny > Rozruszniki","Elektroinštalácia > Rozruszniki"
"Silnik > Sprzęgło > Zestawy naprawcze siłownika sprzęgła","Motor > Sprzęgło > Zestawy naprawcze siłownika sprzęgła"
"Silnik > Tłoki-Pierścienie-Sworznie > Zabezpieczenia sworzni","Motor > Tłoki-Pierścienie-Sworznie > Zabezpieczenia sworzni"
"Silnik > Uszczelki i uszczelniacze","Motor > Uszczelki i uszczelniacze"
"Układ napędowy > Paski napędowe > Skuter","Pohon > Paski napędowe > Skútrové pneumatiky"
"Zawieszenie i układ kierowniczy > Tył > Amortyzatory tył","Odpruženie a riadenie > Zadné > Amortyzatory tył"
"Układ hamulcowy > Tarcze hamulcowe > Przód > Tył","Brzdový systém > Brzdové kotúče > Predné > Zadné"
"Dętki, Tubliss, mousse > Dętki > 17","Duše, Tubliss a mousse > Duše > 17"
"Nadwozie > Okleiny, Gąbki, Poszycia, Siedzenia kompletne > Poszycia siedzeń","Karoséria a rám > Okleiny, Gąbki, Poszycia, Siedzenia kompletne > Poszycia siedzeń"
"Silnik > Korbowody > Motocykle 2T","Motor > Korbowody > Motocykle 2T"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki głowicy > Standard","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki głowicy > Standard"
"Silnik > Łożyska wału korbowego > 2T > Komplet łożysk","Motor > Łożyska wału korbowego > 2T > Komplet łożysk"
"Zawieszenie i układ kierowniczy > Przód > Zestaw naprawczy zawieszenia","Odpruženie a riadenie > Predné > Zestaw naprawczy zawieszenia"
"Układ elektryczny > Żarówki i bezpieczniki > Żarówki > 12V","Elektroinštalácia > Żarówki i bezpieczniki > Żarówki > 12V"
"Zawieszenie i układ kierowniczy > Szpilki i nakrętki kół","Odpruženie a riadenie > Szpilki i nakrętki kół"
"Odzież i ochraniacze > Odzież szosowa > Spodnie motocyklowe > Jeansy motocyklowe","Oblečenie a ochranné vybavenie > Cestné moto oblečenie > Moto nohavice > Moto džínsy"
"Dętki, Tubliss, mousse > Dętki > 18","Duše, Tubliss a mousse > Duše > 18"
"Odzież i ochraniacze > Ochraniacze > Spodenki z ochraniaczami","Oblečenie a ochranné vybavenie > Chrániče > Šortky s chráničmi"
"Układ napędowy > Zapinki, zakuwki i ogniwa łączące > Ogniwa łączące","Pohon > Zapinki, zakuwki i ogniwa łączące > Ogniwa łączące"
"Nadwozie > Linki > Linki hamulca","Karoséria a rám > Linki > Linki hamulca"
"Układ napędowy > Paski napędowe > ATV","Pohon > Paski napędowe > ATV pneumatiky"
"Silnik > Zestawy naprawcze góry silnika","Motor > Zestawy naprawcze góry silnika"
"Nadwozie > Dźwignie sprzęgła i hamulca","Karoséria a rám > Dźwignie sprzęgła i hamulca"
"Silnik > Pozostałe","Motor > Ostatné"
"Układ paliwowy > Pozostałe","Palivový systém > Ostatné"
"Silnik > Dźwignie startera (kopki)","Motor > Dźwignie startera (kopki)"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelka pokrywy pompy wody","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelka pokrywy pompy wody"
"Nadwozie > Kierownice i osprzęt > Przełączniki","Karoséria a rám > Kierownice i osprzęt > Przełączniki"
"Odzież i ochraniacze > Odzież termoaktywna > Ocieplacz szyi","Oblečenie a ochranné vybavenie > Funkčné oblečenie > Nákrčníky"
"Oleje i chemia > Oleje silnikowe 2T > Motocykle i quady","Oleje a chémia > Oleje silnikowe 2T > Motocykle i quady"
"Układ napędowy > Zębatki tył > Stalowo-Aluminiowe","Pohon > Zębatki tył > Stalowo-Aluminiowe"
"Nadwozie > Osłony i gmole > Silnika","Karoséria a rám > Osłony i gmole > Silnika"
"Dętki, Tubliss, mousse > Opaski na felgi","Duše, Tubliss a mousse > Pásky do ráfikov"
"Dętki, Tubliss, mousse > Dętki > 19","Duše, Tubliss a mousse > Duše > 19"
"Nadwozie > Rolgazy i manetki > Manetki > ATV","Karoséria a rám > Rolgazy i manetki > Manetki > ATV pneumatiky"
"Oleje i chemia > Oleje przekładniowe","Oleje a chémia > Oleje przekładniowe"
"Odzież i ochraniacze > Odzież rowerowa > Rękawice rowerowe","Oblečenie a ochranné vybavenie > Cyklistické oblečenie > Rękawice rowerowe"
"Nadwozie > Rolgazy i manetki > Rolgazy kompletne","Karoséria a rám > Rolgazy i manetki > Rolgazy kompletne"
"Silnik > Skrzynia biegów","Motor > Skrzynia biegów"
"Nadwozie > Plastiki > Osłona teleskopów","Karoséria a rám > Plastiki > Osłona teleskopów"
"Oleje i chemia > Pozostałe środki smarne i dodatki do oleju","Oleje a chémia > Pozostałe środki smarne i dodatki do oleju"
"Nadwozie > Plastiki > Osłona chłodnicy","Karoséria a rám > Plastiki > Osłona chłodnicy"
"Układ paliwowy > Zestawy naprawcze i części gaźników > Zaworki iglicowe","Palivový systém > Zestawy naprawcze i części gaźników > Zaworki iglicowe"
"Silnik > Łożyska i sworznie stopy korbowodu","Motor > Łożyska i sworznie stopy korbowodu"
"Zawieszenie i układ kierowniczy > Tulejki kół > Przód","Odpruženie a riadenie > Tulejki kół > Predné"
"Układ elektryczny > Akumulatory > 12V > Żelowe","Elektroinštalácia > Akumulatory > 12V > Żelowe"
"Dętki, Tubliss, mousse > Dętki > 16","Duše, Tubliss a mousse > Duše > 16"
"Silnik > Korbowody > Motocykle 2T > Yamaha","Motor > Korbowody > Motocykle 2T > Yamaha"
"Nadwozie > Rolgazy i manetki > Manetki > Podgrzewane","Karoséria a rám > Rolgazy i manetki > Manetki > Podgrzewane"
"Silnik > Sprzęgło > Zestawy naprawcze pompy sprzęgłowej","Motor > Sprzęgło > Zestawy naprawcze pompy sprzęgłowej"
"Nadwozie > Podnóżki > Kierowcy > Szosowe","Karoséria a rám > Podnóżki > Kierowcy > Szosowe"
"Nadwozie > Plastiki > Kołki montażowe do plastików","Karoséria a rám > Plastiki > Kołki montażowe do plastików"
"Nadwozie > Stopki boczne","Karoséria a rám > Stopki boczne"
"Silnik > Korbowody > Motocykle 2T > KTM","Motor > Korbowody > Motocykle 2T > KTM"
"Układ paliwowy > Króćce gaźnika","Palivový systém > Króćce gaźnika"
"Odzież i ochraniacze > Ochraniacze > Ochraniacze szyi","Oblečenie a ochranné vybavenie > Chrániče > Chrániče krku"
"Układ elektryczny > Kierunkowskazy > Kierunkowskazy wzór oryginalny","Elektroinštalácia > Kierunkowskazy > Kierunkowskazy wzór oryginalny"
"Nadwozie > Tankpady","Karoséria a rám > Tankpady"
"Układ napędowy > Łańcuchy napędowe > 428","Pohon > Łańcuchy napędowe > 428"
"Układ elektryczny > Kierunkowskazy > Kierunkowskazy uniwersalne","Elektroinštalácia > Kierunkowskazy > Kierunkowskazy uniwersalne"
"Nadwozie > Podnóżki > Kierowcy > Off road","Karoséria a rám > Podnóżki > Kierowcy > Off road"
"Układ elektryczny > Układ zapłonowy > Wyłączniki i przełączniki map zapłonu > Przy kierownicy","Elektroinštalácia > Układ zapłonowy > Wyłączniki i przełączniki map zapłonu > Przy kierownicy"
"Układ hamulcowy > Zaciski hamulcowe > Tłoczki zacisku","Brzdový systém > Brzdové strmene > Piestiky brzdového strmeňa"
"Odzież i ochraniacze > Odzież termoaktywna > Kominiarka motocyklowa","Oblečenie a ochranné vybavenie > Funkčné oblečenie > Moto kukly"
"Układ paliwowy > Zestawy naprawcze i części gaźników > Zawory AIR CUT","Palivový systém > Zestawy naprawcze i części gaźników > Zawory AIR CUT"
"Nadwozie > Plastiki > Osłona pokrywy sprzęgła","Karoséria a rám > Plastiki > Osłona pokrywy sprzęgła"
"Nadwozie > Plastiki > Osłona amortyzatora tylnego","Karoséria a rám > Plastiki > Osłona amortyzatora tylnego"
"Zawieszenie i układ kierowniczy > Przód > Odpowietrzniki teleskopów","Odpruženie a riadenie > Predné > Odpowietrzniki teleskopów"
"Układ elektryczny > Stacyjki","Elektroinštalácia > Stacyjki"
"Układ hamulcowy > Śruby tarcz hamulcowych","Brzdový systém > Skrutky brzdových kotúčov"
"Układ hamulcowy > Pompa hamulcowa > Pozostałe (części pomp hamulcowych)","Brzdový systém > Hlavný brzdový valec > Ostatné diely hlavného brzdového valca"
